X,Y,OBJECTID,TYPE,PARK_NAME,REC_AREA,OWNERSHIP,CLASSIFICATION,LONGITUDE,LATITUDE
587968.816499999724329,4785060.991699999198,154,Soccer,,Hamilton Mountain,School,,-79.91699058633057,43.21320855869136
588058.742200000211596,4785059.0697,155,Soccer,,Hamilton Mountain,School,,-79.91588398617955,43.21318076943388
588249.54079999961,4786127.8911,156,Baseball,,Hamilton Mountain,Other,,-79.91336454340697,43.22278121927045
592184.186300000175834,4783687.492599999532,157,Soccer,,Hamilton Mountain,School,,-79.86533295582184,43.200339940883985
592062.668499999679625,4783485.276499999687,158,Soccer,,Hamilton Mountain,City,,-79.86686208982748,43.19853421059932
592118.385700000450015,4783466.469,159,Soccer,,Hamilton Mountain,City,,-79.86617957063073,43.19835809200261
592204.223399999551475,4783451.455299999565,160,Soccer,,Hamilton Mountain,City,,-79.8651257629034,43.19821244964739
595605.856300000101328,4784822.8811,65,Baseball,,Hamilton Mountain,City,,-79.82302869374084,43.210136270075644
595712.801099999807775,4784971.6315,66,Baseball,,Hamilton Mountain,City,,-79.82168662126134,43.21146189660211
595888.587299999780953,4784920.252399999648,67,Soccer,,Hamilton Mountain,City,,-79.81953190337347,43.210977030965516
595983.3251,4784507.117599999532,68,Baseball,,Hamilton Mountain,City,,-79.81843765098375,43.20724560374098
595979.64130000025034,4784568.5291,69,Baseball,,Hamilton Mountain,City,,-79.81847231720928,43.207798950162065
596039.179999999701977,4784504.2258,70,Baseball,,Hamilton Mountain,City,,-79.81775071870581,43.207212466546544
595520.442599999718368,4784485.510199999437,71,Soccer,,Hamilton Mountain,City,,-79.82413832902238,43.207109778603765
595486.283900000154972,4784393.114,72,Soccer,,Hamilton Mountain,City,,-79.82457471120256,43.20628226910489
595624.2412,4784395.854699999094,73,Baseball,,Hamilton Mountain,City,,-79.82287634976747,43.206289483455386
595587.445299999788404,4784337.3626,74,Baseball,,Hamilton Mountain,City,,-79.82333933174247,43.20576754612881
595708.745299999602139,4785147.816899999976,75,Soccer,,Hamilton Mountain,City,,-79.82170600221264,43.213048580892625
595780.3026,4785124.7576,76,Soccer,,Hamilton Mountain,City,,-79.82082922600026,43.21283190540604
593748.951100000180304,4783284.4526,77,Soccer,,Hamilton Mountain,Other,,-79.84614492363879,43.19651876661096
593790.9972,4783311.7879,78,Basketball,,Hamilton Mountain,Other,,-79.84562288704667,43.196759645650765
593816.235899999738,4783303.480699999258,79,Basketball,,Hamilton Mountain,City,,-79.84531372200411,43.196681721148664
593831.003600000403821,4783259.957599999383,80,Baseball,,Hamilton Mountain,City,,-79.84513938845546,43.19628805117414
592904.057400000281632,4783435.1947,81,Baseball,,Hamilton Mountain,City,,-79.85651642916946,43.19798029315309
592989.089499999769032,4783405.9471,82,Basketball,,Hamilton Mountain,City,,-79.85547496147538,43.1977065130074
592488.461900000460446,4787746.955299999565,83,Baseball,,Hamilton Mountain,City,,-79.86090823366222,43.23684993274434
592452.136900000274181,4787654.7038,84,Baseball,,Hamilton Mountain,City,,-79.86137099383352,43.23602385137805
592544.276600000448525,4787622.842499999329,85,Baseball,,Hamilton Mountain,City,,-79.86024177903101,43.23572570696312
592598.663399999961,4787600.3087,86,Baseball,,Hamilton Mountain,City,,-79.85957587502273,43.23551616145912
592610.824799999594688,4787649.745699999854,87,Baseball,,Hamilton Mountain,City,,-79.8594178255723,43.235959746729364
592627.204800000414252,4787691.2486,88,Baseball,,Hamilton Mountain,City,,-79.85920915954776,43.23633138286061
591735.333899999969,4787927.745899999514,89,Baseball,,Hamilton Mountain,City,,-79.87015193820953,43.23856955926843
591659.389399999752641,4787901.5006,90,Baseball,,Hamilton Mountain,City,,-79.87109148429272,43.23834250764034
593563.145600000396371,4787685.8285,91,Baseball,,Hamilton Mountain,City,,-79.84768536663178,43.23616706587356
593644.5,4787647.667099999264,92,Baseball,,Hamilton Mountain,City,,-79.84669009243763,43.23581340746499
593622.039300000295043,4787581.445699999109,93,Baseball,,Hamilton Mountain,City,,-79.84697790176924,43.23522001153095
593546.589300000108778,4787597.868699999526,94,Baseball,,Hamilton Mountain,City,,-79.84790415206274,43.23537722703044
594911.600399999879301,4786892.6192,95,Baseball,,Hamilton Mountain,City,,-79.83121778279843,43.2288574488046
594839.7626,4786978.8113,96,Basketball,,Hamilton Mountain,City,,-79.83208742622467,43.229642458195634
