timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-12-07,108.3800,109.4500,104.3000,104.8200,104.8200,45044937,0.0000,1.0000
2018-12-06,105.8200,109.2400,105.0000,109.1900,109.1900,49107431,0.0000,1.0000
2018-12-04,111.9400,112.6373,108.2115,108.5200,108.5200,45196984,0.0000,1.0000
2018-12-03,113.0000,113.4200,110.7300,112.0900,112.0900,34732772,0.0000,1.0000
2018-11-30,110.7000,110.9700,109.3600,110.8900,110.8900,33665624,0.0000,1.0000
2018-11-29,110.3300,111.1150,109.0300,110.1900,110.1900,28123195,0.0000,1.0000
2018-11-28,107.8900,111.3300,107.8600,111.1200,111.1200,46788461,0.0000,1.0000
2018-11-27,106.2700,107.3300,105.3600,107.1400,107.1400,29124486,0.0000,1.0000
2018-11-26,104.7900,106.6300,104.5800,106.4700,106.4700,32336165,0.0000,1.0000
2018-11-23,102.1700,103.8099,102.0000,103.0700,103.0700,13823099,0.0000,1.0000
2018-11-21,103.6000,104.4300,102.2400,103.1100,103.1100,28130621,0.0000,1.0000
2018-11-20,101.8000,102.9700,99.3528,101.7100,101.7100,64052457,0.0000,1.0000
2018-11-19,108.2700,108.5600,103.5500,104.6200,104.6200,44773899,0.0000,1.0000
2018-11-16,107.0800,108.8800,106.8000,108.2900,108.2900,33502121,0.0000,1.0000
2018-11-15,104.9900,107.8000,103.9100,107.2800,107.2800,38505165,0.0000,1.0000
2018-11-14,108.1000,108.2600,104.4700,104.9700,104.9700,39495141,0.4600,1.0000
2018-11-13,107.5500,108.7400,106.6400,106.9400,106.4734,35374583,0.0000,1.0000
2018-11-12,109.4200,109.9600,106.1000,106.8700,106.4037,33621807,0.0000,1.0000
2018-11-09,110.8500,111.4500,108.7600,109.5700,109.0919,32039223,0.0000,1.0000
2018-11-08,111.8000,112.2100,110.9100,111.7500,111.2624,25644105,0.0000,1.0000
2018-11-07,109.4400,112.2400,109.4000,111.9600,111.4715,37901704,0.0000,1.0000
2018-11-06,107.3800,108.8400,106.2800,107.7200,107.2500,24340248,0.0000,1.0000
2018-11-05,106.3700,107.7400,105.9000,107.5100,107.0409,27922144,0.0000,1.0000
2018-11-02,106.4800,107.3200,104.9750,106.1600,105.6968,37680194,0.0000,1.0000
2018-11-01,107.0500,107.3200,105.5300,105.9200,105.4579,33384201,0.0000,1.0000
2018-10-31,105.4350,108.1400,105.3900,106.8100,106.3440,51062383,0.0000,1.0000
2018-10-30,103.6600,104.3800,100.1100,103.7300,103.2774,65350878,0.0000,1.0000
2018-10-29,108.1050,108.7000,101.6300,103.8500,103.3969,55162001,0.0000,1.0000
2018-10-26,105.6900,108.7500,104.7600,106.9600,106.4933,55523104,0.0000,1.0000
2018-10-25,106.5500,109.2700,106.1500,108.3000,107.8275,61646819,0.0000,1.0000
2018-10-24,108.4100,108.4900,101.5901,102.3200,101.8736,63897759,0.0000,1.0000
2018-10-23,107.7700,108.9700,105.1100,108.1000,107.6284,43770429,0.0000,1.0000
2018-10-22,109.3200,110.5400,108.2400,109.6300,109.1517,26545607,0.0000,1.0000
2018-10-19,108.9300,110.8600,108.2100,108.6600,108.1859,32785475,0.0000,1.0000
2018-10-18,110.1000,110.5300,107.8300,108.5000,108.0266,32506192,0.0000,1.0000
2018-10-17,111.6800,111.8100,109.5482,110.7100,110.2270,26548243,0.0000,1.0000
2018-10-16,109.5400,111.4100,108.9500,111.0000,110.5157,31610164,0.0000,1.0000
2018-10-15,108.9100,109.4800,106.9468,107.6000,107.1305,32068103,0.0000,1.0000
2018-10-12,109.0100,111.2400,107.1200,109.5700,109.0919,47742109,0.0000,1.0000
2018-10-11,105.3500,108.9300,104.2000,105.9100,105.4479,63904282,0.0000,1.0000
2018-10-10,111.2400,111.5000,105.7900,106.1600,105.6968,61376300,0.0000,1.0000
2018-10-09,111.1400,113.0800,110.8000,112.2600,111.7702,26198594,0.0000,1.0000
2018-10-08,111.6600,112.0300,109.3400,110.8500,110.3664,29640588,0.0000,1.0000
2018-10-05,112.6300,113.1700,110.6400,112.1300,111.6408,29068859,0.0000,1.0000
2018-10-04,114.6100,114.7588,111.6300,112.7900,112.2979,34821717,0.0000,1.0000
2018-10-03,115.4200,116.1800,114.9300,115.1700,114.6675,16648018,0.0000,1.0000
2018-10-02,115.3000,115.8400,114.4400,115.1500,114.6476,20787239,0.0000,1.0000
2018-10-01,114.7500,115.6800,114.7300,115.6100,115.1056,18883079,0.0000,1.0000
