X,Y,OBJECTID,NAME,DENOMINATION,ADDRESS,COMMUNITY,LONGITUDE,LATITUDE
582182.723799999803305,4777310.4667,169,St. Paul's Presbyterian Church (Ancaster),Presbyterian,526 CARLUKE RD W,ANCASTER,-79.98936522315293,43.14407959124676
584897.483799999579787,4791050.789799999446,170,St. Paul's United Church (Dundas),United,29 PARK ST W,DUNDAS,-79.95387403500565,43.26748763854327
592622.92,4789472.17899999954,171,St. Thomas Anglican Church,Anglican,16 WEST AVE S,HAMILTON,-79.85896267647925,43.25236547593224
589756.690700000151992,4798241.658199999481,172,St. Thomas Roman Catholic Church,Roman Catholic,46 FLAMBORO ST,FLAMBOROUGH,-79.89283425855996,43.331663357019515
588719.684299999848008,4787937.187899999321,173,Theological College Of The Canadian Reformed Churches,Reformed,110 WEST 27TH ST,HAMILTON,-79.90728559539357,43.23901534482696
580056.162200000137091,4803716.57,174,United Church Of Canada (Carlisle),United,1552 HWY 6,FLAMBOROUGH,-80.01167384415022,43.382050645101266
586695.737200000323355,4789778.867699999362,175,United Hebrew Memorial Chapel,United,28 EWEN RD,HAMILTON,-79.93191950937481,43.25583161011002
570272.45920000039041,4803406.9867,176,Valens Gospel Hall,Brethren,1774 VALENS RD,FLAMBOROUGH,-80.13248286640335,43.380243298263196
591678.654299999587238,4786905.1162,177,Vietnamese Buddhist Temple,Buddhism,147 SOUTH BEND RD E,HAMILTON,-79.87101988051067,43.22936974748871
589776.4364,4798563.06279999949,178,Waterdown Christian And Missionary Alliance,Alliance,21 MILL ST N,FLAMBOROUGH,-79.89253815229091,43.33455456615867
578562.598600000143051,4791036.10869999975,179,West Flamboro Presbyterian Church,Presbyterian,295 HWY 8,FLAMBOROUGH,-80.03192464300687,43.26804266263878
574001.00040000025183,4798666.3727,180,Westover Baptist Church,Baptist,1149 WESTOVER RD,FLAMBOROUGH,-80.08709959608382,43.3372033653465
590792.1524,4790555.5338,181,Zion United Church,United,69 PEARL ST N,HAMILTON,-79.8813333968204,43.26234160430533
585791.829199999570847,4798525.0636,182,Flamborough Baptist Church,Baptist,41 5TH CON RD E,FLAMBOROUGH,-79.9416888841297,43.33467780073178
590675.2977,4790384.9064,183,King Street Baptist Church,Baptist,462 KING ST W,HAMILTON,-79.8828010079291,43.260819522087374
593625.737099999561906,4783541.047299999744,184,New Hope Community Church,Community Church,24 ARNO ST,HAMILTON,-79.84761765418203,43.19884416090747
586147.439500000327826,4787108.9713,185,Macneill Memorial Baptist Church (Ancaster),Baptist,1114 OLD MOHAWK RD,ANCASTER,-79.93909057138788,43.23185697646597
582290.689399999566376,4785032.0152,186,Marshall Memorial United Church,United,184 FIDDLERS GREEN RD,ANCASTER,-79.98688887716014,43.213588042213296
593316.231100000441074,4787058.174,187,Meadow Creek Community Church,Associated Gospel Churches,662 FENNELL AVE E,HAMILTON,-79.85083193326291,43.23054693917696
584349.987700000405312,4798612.0314,188,Millgrove United Church,United,374 5TH CON RD W,FLAMBOROUGH,-79.95945888258656,43.33562395992489
584663.501199999824166,4784016.5252,189,Netherland Reformed Church,Reformed,572 SOUTHCOTE RD,ANCASTER,-79.95783667086361,43.204182906988905
584341.472199999727309,4791017.0578,190,New Christian Life Assembly,Non-denominational,165 KING ST W,DUNDAS,-79.96072939313915,43.267246390577824
580506.6831,4791630.658199999481,191,New Hope Christian Centre,Non-denominational,176 HWY 8,FLAMBOROUGH,-80.00788549500615,43.27319034723297
578123.060200000181794,4805445.8824,192,Our Lady Of Mount Carmel Roman Catholic Church,Roman Catholic,55 FREELTON RD,FLAMBOROUGH,-80.03528849198048,43.39782371862605
584041.787999999709427,4786182.901,193,Presbyterian Church Assembly,Presbyterian,495 GOLF LINKS RD,ANCASTER,-79.96515863030638,43.223756851190586
586372.674899999984,4794779.224799999967,194,Rock Chapel United Church,United,451 ROCK CHAPEL RD,FLAMBOROUGH,-79.93511404752321,43.30088738369029
582999.198300000280142,4786268.5372,195,Ryerson United Church (Ancaster),United,265 WILSON ST E,ANCASTER,-79.97798157403345,43.22464325990423
590348.776200000196695,4790742.525299999863,196,Our Lady Of Mercy Luthuanian Parish,Roman Catholic,58 DUNDURN ST N,HAMILTON,-79.88676462321507,43.26407837227598
588370.713000000454485,4789905.436799999326,197,Adas Israel Congregation Of Hamilton,ADAS ISRAEL,128 CLINE AVE S,HAMILTON,-79.91126733590238,43.256776600105425
591190.96,4790468.0383,198,The House Of Peace Church,Church of Jesus Christ,7 PETER ST,HAMILTON,-79.87643502797198,43.26150573186718
591634.340400000102818,4790387.06599999964,199,The Vine Philpott Memorial Church,Associated Gospel Churches,78 VINE ST,HAMILTON,-79.87098664308083,43.26072296192247
591725.0559,4790365.0895,200,Restoration House Hamilton,Redeemed Christian Church of God ,54 VINE ST,HAMILTON,-79.86987282373258,43.2605140724991
591772.906899999827147,4790658.3112,201,Saint Mary's Church,Roman Catholic Church,23 SHEAFFE ST,HAMILTON,-79.86923451256676,43.26314809885867
592231.032999999821186,4790075.394099999219,202,Hamilton Downtown Sunni Mosque,Muslim,96 CATHARINE ST N,HAMILTON,-79.86368848157072,43.25784421828908
592514.210099999792874,4789950.9725,203,Streetlight Christian Church,REFORMED,82 FERGUSON AVE N,HAMILTON,-79.86022123481857,43.256689357340285
592677.338100000284612,4789804.186599999666,204,Amorc,Rosicrucian Order,64 WELLINGTON ST N,HAMILTON,-79.85823657477573,43.25534781864053
590546.533599999733269,4789052.0734,205,First Estonian Evangelical Lutheran Congregation,Lutheran,3 MAPLESIDE AVE,HAMILTON,-79.88460624878655,43.24883553793167
586109.370400000363588,4787088.892799999565,206,Maranatha Free Reformed Church,Reformed,1114 OLD MOHAWK RD,ANCASTER,-79.93956244949348,43.23168055275
584630.898400000296533,4791232.317199999467,207,St. Augustine's Catholic Church,Roman Catholic,58 SYDENHAM ST,DUNDAS,-79.95713052093566,43.26915195330343
589778.212600000202656,4783350.7441,208,Iglesia Bautista Hispana Monte Calvario,Baptist,1759 UPPER JAMES ST,HAMILTON,-79.89499659867883,43.197598018632306
593605.851099999621511,4789896.555099999532,209,Primera Iglesia Bautisa Hispana,Baptist,120 WENTWORTH ST N,HAMILTON,-79.8467840768123,43.25606466342999
604760.727800000458956,4786548.35,210,Wat Khmer Kampuchea Krom Buddhist Temple And Meditation Centre,Buddhism,516 BARTON ST,STONEY CREEK,-79.71002549229958,43.22445489398099
592600.127999999560416,4783803.1278,211,Stone Ridge Bible Chapel,Non-denominational,1457 UPPER SHERMAN AVE,HAMILTON,-79.86019486529554,43.20133011608001
588991.089999999850988,4790723.33,212,Temple Anshe Sholom (Reform),Jewish,215 CLINE AVE N,HAMILTON,-79.90349347185769,43.26406712267135
602614.733799999579787,4787293.7484,213,Bosnian Islamic Center,Muslim,202 BARTON ST,STONEY CREEK,-79.73630524994502,43.23146025634941
595820.307300000451505,4783196.491299999878,214,Hamilton Mosque (Sunni Muslims),Muslim,1545 STONE CHURCH RD E,HAMILTON,-79.82067131569794,43.19546692375073
599518.839999999850988,4788923.29,215,Umar Mosque (Sunni Muslims),Muslim,734 RENNIE ST,HAMILTON,-79.7741282113694,43.24654521079232
593438.696499999613,4784120.735899999738,216,Al-Wilaya Islamic Centre (Shiatt Muslims),Muslim,1310 UPPER GAGE AVE,HAMILTON,-79.84982132362354,43.20408623477825
598878.53000000026077,4789659.27,217,Razvi Islamic Centre (Shiatt Muslims),Muslim,95 MEAD AVE,HAMILTON,-79.78188173498098,43.253255228483525
595815.996399999596179,4782684.2959,218,Association Of Progressive Dawoodi Brothers Of Ontario (Bori Muslims),Muslim,60 HARLOWE RD,HAMILTON,-79.82081315753783,43.190856239554456
595776.548600000329316,4782695.263699999079,219,Ismaili Community Of Hamilton (Ismaili Muslims),Muslim,60 HARLOWE RD,HAMILTON,-79.82129663265424,43.19095998359951
592829.740000000223517,4788311.13,220,Hamilton Church Of Christ,Non-denominational,450 CONCESSION ST,HAMILTON,-79.85661087408945,43.241887223603506
584252.237099999561906,4791289.756699999794,221,Valley Community Church Meeting At Centre Of The Arts,Non-denominational,37 MARKET ST N,DUNDAS,-79.96178705394803,43.26971153287356
595976.523599999957,4789493.8789,222,Church Of Pentecost,Pentecostal,1047 BARTON ST E,HAMILTON,-79.81765376829385,43.25214132469601
592578.781000000424683,4789787.784099999815,223,Apostolic Ark Ministries,Pentecostal Assemblies of Canada,251 KING WILLIAM ST,HAMILTON,-79.8594532959308,43.255212259675346
594786.446100000292063,4789873.7868,224,Victory Assemblies Of God,Other,755 BARTON ST E,HAMILTON,-79.83224611098167,43.255712143294005
590053.597699999809265,4790692.438899999484,225,Diocese Of Hamilton,Roman Catholic,700 KING ST W,HAMILTON,-79.89040919578416,43.26366278011154
602450.521599999628961,4785713.0247,226,The Salvation Army - Stoney Creek Corps,Salvation Army,245 KING ST E,STONEY CREEK,-79.73862051294321,43.21725203192209
591408.350899999961,4788577.0404,227,Temple Of The Guiding Star,Spiritualists,21 ROSEDENE AVE,HAMILTON,-79.87407077119381,43.244454837880745
593952.324900000356138,4790111.2257,228,The Assembly Of The Church Of The Universe,Universal,544 BARTON ST E,HAMILTON,-79.84247979109516,43.25795420112379
569440.1003,4786595.313799999654,229,United Church (Lynden),United,3989 GOVERNORS RD,FLAMBOROUGH,-80.14488165740809,43.228955162992804
585230.9424,4785339.568499999121,230,Meadowlands Fellowship Christian Reformed Church,Christian Reformed,211 STONEHENGE DR,ANCASTER,-79.95064870288759,43.216030754854714
586529.154900000430644,4801751.423,231,Flamborough Christian Fellowship Centre,Christian Reformed,329 CONCESSION 6 E,FLAMBOROUGH,-79.9320857400428,43.3636401113698
587884.160400000400841,4799655.7092,232,St. Thomas The Apostle Church,Roman Catholic,715 CENTRE RD,FLAMBOROUGH,-79.91570163869221,43.34461521609995
591743.0581,4800520.11959999986,233,Bethel Christian Reformed Church,Christian Reformed,606 DUNDAS ST E,FLAMBOROUGH,-79.86795557784855,43.35193608058363
578280.792700000107288,4803387.0285,234,Strabane United Church,United,1565 BROCK RD,FLAMBOROUGH,-80.0336355385121,43.37927101250909
607177.14740000013262,4784806.605299999937,235,Immaculate Heart Of Mary Parish,Roman Catholic,934 HIGHWAY NO. 8,STONEY CREEK,-79.68061663921495,43.20843574200909
588606.990500000305474,4794245.4834,236,Gurdwara Sikh Sangat,Sikh,200 OLD GUELPH RD,DUNDAS,-79.90765812565846,43.29582236847199
564564.0148,4797182.186,237,Zion United Reformed Church Of Sheffield,United Reformed,1238 OLD HWY 8,FLAMBOROUGH,-80.20368008655755,43.32471012392166
566162.133500000461936,4790079.4079,238,Troy United Church,United,2299 TROY RD,FLAMBOROUGH,-80.18482579063205,43.260619816652735
570882.04,4794622.24,239,Rockton United Church,United,792 OLD HWY 8,FLAMBOROUGH,-80.12609364902355,43.301092488626786
571142.97,4794482.92,240,St. Alban The Martyr Anglican Church,Anglican,758 OLD HWY 8,FLAMBOROUGH,-80.12289503922163,43.299813490545866
585901.773900000378489,4784460.4067,241,Bowman United Church,United,880 GARNER ROAD EAST,ANCASTER,-79.9425276726415,43.208039418530824
594786.96,4788725.66,242,Trinity Baptist Church,Baptist,922 MAIN ST E,HAMILTON,-79.83243726712621,43.2453756981361
587529.567200000397861,4789569.878799999133,243,St. Margaret's Anglican Church,Anglican,134 EMERSON ST,HAMILTON,-79.92168180738514,43.25385369442523
591836.46,4787783.68,244,The International Eagle's Cry Ministries,Full Gospel,208 BRUCEDALE AVE E,HAMILTON,-79.8689306608824,43.23726023318963
588449.907999999821186,4790271.6961,245,Macneill Memorial Baptist Church (Hamilton),Baptist,1145 KING ST W,HAMILTON,-79.91023300988478,43.260064762391224
597340.339999999850988,4789080.57,246,Jehovah's Witnesses (Delta And East Hamilton Congregation),Jehovah's Witnesses,1441 BARTON ST E,HAMILTON,-79.80092934070584,43.24824555168585
601842.9342,4786018.170499999076,247,Stoney Creek Baptist Church,Baptist,79 COLLEGIATE AVE,STONEY CREEK,-79.74604311717528,43.22008136116207
593308.150000000372529,4786110.92,248,Reorganized Church Of Jesus Christ Of Latter Day S,Reorganized Church of Jesus Christ of Latter Day Saints,817 UPPER SHERMAN AVE,HAMILTON,-79.85109162322424,43.22201988783459
587592.3108,4789515.472599999979,249,Apostolic Holiness Church Of Jesus Christ,Apostolic,42 ROYAL AVE,HAMILTON,-79.92091762408204,43.25335658191532
600801.349999999627471,4785635.41,250,Cheyne Presbyterian Church,Presbyterian,7 KING ST W,STONEY CREEK,-79.75893471718938,43.21677535053129
593290.410000000149012,4788356.16,251,Chalmers Presbyterian Church,Presbyterian,200 MOUNTAIN PARK AVE,HAMILTON,-79.85093027249218,43.24223577542039
599490.79,4791290.69,252,Living Word Covenant Community Church,Community Church,159 BEACH BLVD,HAMILTON,-79.77404609392589,43.267861714763455
592874.13370000012219,4786228.3493,253,Burkholder United Church,United,465 MOHAWK RD E,HAMILTON,-79.85641488062352,43.22313063758119
593311.389999999664724,4788209.2,254,The Salvation Army - Hamilton Loation Corps,Salvation Army,573 CONCESSION ST,HAMILTON,-79.8506967833099,43.24091011438378
597391.339999999850988,4774845.44,255,Binbrook United Church,United,2623 BINBROOK RD,GLANBROOK,-79.80280850581157,43.12008256408349
594650.0,4783268.81,256,Christian International Life Centre,Non-denominational,45 NEBO RD,HAMILTON,-79.83505979718583,43.19626556114634
588688.775600000284612,4779811.4428,257,St. Paul's Anglican Church  (Mount Hope),Anglican,2869 HWY 6,GLANBROOK,-79.90897076772782,43.16586181395946
597547.690000000409782,4782913.94,258,Heritage Green Baptist Church,Baptist,956 PARAMOUNT DR,STONEY CREEK,-79.79946559428959,43.192702061760464
597582.139999999664724,4786997.04,259,St. Mary Armenian Church,Orthodox,8 MAYHURST AVE,HAMILTON,-79.79832013670304,43.22945683962769
597414.610000000335276,4789053.11,260,Living Water Ministries,Non-denominational,1475 BARTON ST E,HAMILTON,-79.80001950849821,43.24798874458464
605086.21,4785514.97,261,Stoney Creek Alliance Church,Alliance,605 HWY 8,STONEY CREEK,-79.7062154061002,43.21510669174601
590230.840200000442564,4790709.42119999975,262,Hamilton Chinese Alliance Church,Alliance,50 BREADALBANE ST,HAMILTON,-79.88822293135384,43.2637944681329
590766.733,4790567.387099999934,263,Livingston United Church (Korean),United,69 PEARL ST N,HAMILTON,-79.88164458195786,43.26245138094986
588539.54,4794451.65,264,Seventh-Day Adventist Reformed Church,Seventh Day Adventist Reformed,232 OLD GUELPH RD,DUNDAS,-79.90845630005434,43.29768642028125
592068.224299999885261,4790632.8999,265,Christs Church Cathedral,Anglican,252 JAMES ST N,HAMILTON,-79.86560075210987,43.26288329975775
594132.019999999552965,4789041.25,266,St. Peter Church Of,Anglican,705 MAIN ST E,HAMILTON,-79.84044913446583,43.24829895611291
598585.019999999552965,4788397.36,267,St. Nicholas Ukrainian Catholic Parish,Ukranian Catholic,260 MELVIN AVE,HAMILTON,-79.78572250570328,43.24193310787753
591999.313699999824166,4790943.2716,268,Holy Resurrection Romanian Orthodox Church,Romanian Orthodox,20 MURRAY ST W,HAMILTON,-79.86639780323112,43.26568596338812
594946.889999999664724,4783275.26,269,Hamilton Church Of God,Pentecostal,1338 STONE CHURCH RD E,HAMILTON,-79.83140534837315,43.196286367271206
597615.660000000149012,4774769.32,270,Knox Presbyterian Church (Binbrook),Presbyterian,2553 BINBROOK RD,GLANBROOK,-79.80006501812159,43.11936838052473
593515.700000000186265,4788239.54,271,Sacred Heart Roman Catholic Church,Roman Catholic,24 POPLAR AVE,HAMILTON,-79.84817567804626,43.24115795436242
591760.049999999813735,4789368.54,272,St. Charles Garnier Church,Roman Catholic,129 HUGHSON ST S,HAMILTON,-79.86960773694479,43.251537947282486
598473.360000000335276,4783061.4,273,Heritage Green Presbyterian Church,Presbyterian,360 ISAAC BROCK DR,STONEY CREEK,-79.78804944476983,43.19390950813801
607020.429999999701977,4785179.74,274,Jehovah's Witnesses (Glover),Jehovah's Witnesses,217 GLOVER RD,STONEY CREEK,-79.68247306383324,43.2118170706196
592848.798399999738,4785021.091099999845,275,Jehovah's Witnesses (Eastmount Park Congregation),Jehovah's Witnesses,648 LIMERIDGE RD E,HAMILTON,-79.85692984982872,43.21226486828637
600852.04,4785469.34,276,Church Of The Redeemer,Anglican,25 LAKE AVE S,STONEY CREEK,-79.75834110502498,43.21527351223817
600823.009999999776483,4785645.11,277,Stoney Creek United Church,United,1 KING ST W,STONEY CREEK,-79.75866632922562,43.21685978309687
605871.29,4785279.99,278,Stoney Creek Community Church,Community Church,725 HWY 8,STONEY CREEK,-79.69659727871392,43.21288159729989
593213.370000000111759,4788276.11,279,Mount Hamilton United Church,United,31 SUMMIT AVE,HAMILTON,-79.85189253145815,43.241524620293866
591231.58,4784858.03,280,Bethel Gospel Tabernacle,Pentecostal Assemblies of Canada,1355 UPPER WELLINGTON,HAMILTON,-79.87686273300842,43.21099400801637
590685.806699999608099,4790393.105599999428,281,St. George's Anglican Reformed Church,Anglican,458 KING ST W,HAMILTON,-79.8826702026001,43.260892074151855
587291.944500000216067,4787267.9549,282,Chedoke Presbyterian Church,Presbyterian,865 MOHAWK RD W,HAMILTON,-79.92497319927811,43.23315675895507
592668.309999999590218,4787199.3,283,St. Augustine Of Canterbury,Anglican,626 UPPER WENTWORTH,HAMILTON,-79.8587856669824,43.2318973543774
592023.190000000409782,4790221.23,284,St. John's (Evangelical) Lutheran Church,Lutheran,104 HUGHSON ST N,HAMILTON,-79.86622430858299,43.2591825724866
590395.887500000186265,4789473.9999,285,St. Joseph's Church,Roman Catholic,260 HERKIMER ST,HAMILTON,-79.88639241939936,43.25265221544154
590738.747600000351667,4790426.2596,286,Erskine Presbyterian Church,Presbyterian,19 PEARL ST N,HAMILTON,-79.88201258327334,43.26118418658431
593492.610000000335276,4788151.15,287,St. Stephen On The Mount Anglican Church,Anglican,625 CONCESSION ST,HAMILTON,-79.84847500761502,43.2403650519277
595944.679999999701977,4788415.46,288,St. Enoch's Presbyterian Church,Presbyterian,1209 MAIN ST E,HAMILTON,-79.81823370077254,43.24243660966528
591540.70920000039041,4784474.8344,289,Canadian Reformed Church ,Christian Reformed,353 STONE CHURCH RD E,HAMILTON,-79.8731213338588,43.20750667108824
590823.779900000430644,4790901.3668,290,Crossfire Assembly,Pentecostal Assemblies of Canada,430 YORK BLVD,HAMILTON,-79.88088674369368,43.26545131101447
592141.842400000430644,4790225.532299999148,291,Stewart Memorial Church,Methodist Episcopal,112 JOHN ST N,HAMILTON,-79.8647620080883,43.259206808827216
593598.825899999588728,4789879.689899999648,292,Wentworth Baptist Church,Baptist,120 WENTWORTH ST N,HAMILTON,-79.84687347440195,43.25591370073119
592396.589999999850988,4789543.99,293,First- Pilgrim United Church,United,200 MAIN ST E,HAMILTON,-79.8617382916653,43.253039759126985
592270.950000000186265,4791217.72,294,Hughson Street Baptist Church,Baptist,383 HUGHSON ST N,HAMILTON,-79.86300539326008,43.26812357767921
594967.610000000335276,4789762.95,295,St. Anthony Of Padua Church,Roman Catholic,165 PROSPECT ST N,HAMILTON,-79.83003376266713,43.25469149734335
592880.620000000111759,4787882.82,296,Mount Hamilton Baptist Church,Baptist,440 UPPER WENTWORTH,HAMILTON,-79.8560564564074,43.23802492074281
595341.009999999776483,4786392.78,297,St. Michael's Anglican Church,Anglican,1188 FENNELL AVE E,HAMILTON,-79.82601730687215,43.22430333453437
597121.910000000149012,4788005.12,298,St. Columba Presbyterian Church,Presbyterian,1540 MAIN ST E,HAMILTON,-79.80380892970446,43.238591724657276
