X,Y,OBJECTID,NAME,ADDRESS,DESCRIPTION,CURRENT_BIKES,AVAILABLE_BIKES,FREE_RACKS,RACKS_AMOUNT,LONGITUDE,LATITUDE,LAST_IMPORT_DATE
587465.870000000111759,4790248.303099999204,82,McMaster Arthur Bourns,"2000 College Court, McMaster University, Hamilton",,1,1,8,10,-79.92235867088473,43.25996900290572,2018-10-13T00:00:00.000Z
587798.6869,4790315.0535,83,McMaster Health Sciences,"CIBC, University Avenue, Westdale, Hamilton, Ontario",,3,3,16,21,-79.91824820664549,43.2605312614688,2018-10-13T00:00:00.000Z
587471.390499999747,4790525.070299999788,84,McMaster Mary Keyes,"Matthews Hall, Scholars Road, Westdale, Hamilton, Ontario",,1,1,9,10,-79.92224671004001,43.2624601199827,2018-10-13T00:00:00.000Z
587757.651399999856949,4790768.929899999872,85,McMaster Stadium,"Stearn Drive, McMaster University, Hamilton",,2,2,3,6,-79.91868138368197,43.26462232183195,2018-10-13T00:00:00.000Z
591767.002500000409782,4789579.400699999183,86,Hunter GO Centre,"36 Hunter Street East, Hamilton",,4,4,4,10,-79.86948698782076,43.25343546629936,2018-10-13T00:00:00.000Z
587884.870099999942,4790561.872099999338,87,McMaster Student Centre,"Sterling Street, McMaster University, Hamilton",,5,5,19,25,-79.91714715904322,43.26274334009929,2018-10-13T00:00:00.000Z
591782.577499999664724,4790198.868499999866,88,York at Macnab,"25 York Boulevard, Hamilton",,0,0,17,19,-79.86919194417085,43.259010594689855,2018-10-13T00:00:00.000Z
591329.620900000445545,4789369.157299999148,89,Park at Robinson,"80-92 Robinson Street, Hamilton",,0,0,10,10,-79.87490908648608,43.25159577434603,2018-10-13T00:00:00.000Z
592844.18099999987,4790087.4931,90,West at Cannon,"144 West Avenue North, Hamilton",,6,6,4,10,-79.85613376366736,43.25787786254079,2018-10-13T00:00:00.000Z
590427.441499999724329,4789757.58899999969,91,Melbourne at Locke,"11-15 Melbourne Street, Hamilton",,3,3,5,8,-79.88595722675439,43.25520157913986,2018-10-13T00:00:00.000Z
589705.691899999976,4791723.9865,92,Princess Point,"809 Desjardins Recreation Trail, Hamilton",,3,3,7,12,-79.89452703902357,43.27299128758909,2018-10-13T00:00:00.000Z
589316.2626,4789457.0501,93,Aberdeen at Studholme,"34 Studholme Road, Hamilton",,8,8,1,10,-79.89969289267924,43.252628308088596,2018-10-13T00:00:00.000Z
591448.484000000171363,4789673.2617,94,Hunter at Park,"61 Hurst Place, Hamilton",,1,1,8,10,-79.87339461553505,43.25431920047988,2018-10-13T00:00:00.000Z
591131.468999999575317,4790202.8933,95,Hess at king,"15 Hess Street North, Hamilton",,5,5,5,10,-79.87721174986451,43.25912584242847,2018-10-13T00:00:00.000Z
586862.0104,4789742.4962,96,Rifle Range at Rail Trail,"64 Rifle Range Road, Hamilton",,9,9,0,10,-79.92987712883195,43.25548500976831,2018-10-13T00:00:00.000Z
591829.5137,4789900.2969,1,Gore Park,"20 King Street East, Hamilton",,10,10,1,16,-79.86866354923782,43.256316859530166,2018-10-13T00:00:00.000Z
591977.1129,4790513.497099999338,2,James North at Mulberry,"200 James Street North, Hamilton",,8,8,11,20,-79.86674308768235,43.261819452993024,2018-10-13T00:00:00.000Z
