OBJECTID,COMMUNITY,STREET_NO_1,STREET_NO_2,STREET_NAME,NAME,HERITAGE_STATUS,DATE_HERITAGE,PART_IV,BYLAW_NO,PART_V,HCD_NAME,EASEMENT,WORK_PLAN
3369,Hamilton,161,,FOREST AVE,,Inventoried,,No,,No,,,No
3370,Hamilton,193,,QUEEN ST S,,Registered Non-Designated,,No,,No,,,No
3371,Hamilton,197,,QUEEN ST S,,Registered Non-Designated,,No,,No,,,No
3372,Hamilton,201,,QUEEN ST S,,Registered Non-Designated,,No,,No,,,No
3373,Hamilton,183,,CAROLINE ST N,,Inventoried,,No,,No,,,No
3374,Dundas,73,,MELVILLE ST,Dundas Central Public School,Designated,1857,Yes,3751-88,No,,OHT,No
3375,Dundas,75,,MELVILLE ST,,Inventoried,,No,,No,,,No
3376,Hamilton,696,,KING ST E,,Inventoried,1950,No,,No,,,No
3377,Flamborough,682,,5TH CON RD W,,Inventoried,,No,,No,,,No
3378,Hamilton,16,,VICTORIA AVE N,,Inventoried,,No,,No,,,No
3379,Flamborough,371,,MOXLEY RD,,Inventoried,,No,,No,,,No
3380,Hamilton,1,,MARKLAND ST,,Designated,1920,No,94-184,Yes,Durand-Markland,,No
3381,Stoney Creek,184,,MARGARET AVE,Stoney Creek New Testament Church of God,Inventoried,1935,No,,No,,,No
3382,Flamborough,8,,5TH CON RD E,,Inventoried,,No,,No,,,No
3383,Hamilton,20,,CHILTON PL,,Designated,1997,No,94-184,Yes,Durand-Markland,,No
3384,Hamilton,108,,ST CLAIR AVE,,Designated,,No,86-125,Yes,St. Clair Avenue,,No
3385,Flamborough,1589,,HIGHWAY 6,,Inventoried,,No,,No,,,No
3386,Hamilton,573,,MARY ST,,Inventoried,,No,,No,,,No
3387,Hamilton,925,,BEACH BLVD,,Designated,1948,No,00-135,Yes,Hamilton Beach,,No
3388,Hamilton,433,,MARY ST,,Inventoried,1900,No,,No,,,No
3389,Glanbrook,6191,,DICKENSON RD E,,Inventoried,,No,,No,,,No
3390,Hamilton,180,,BAY ST N,,Inventoried,,No,,No,,,No
3391,Dundas,28,30,KING ST W,,Inventoried,,No,,No,,,No
3392,Hamilton,27,,JOHN ST N,,Registered Non-Designated,1850,No,,No,,,No
3393,Hamilton,57,,WEST AVE S,,Inventoried,,No,,No,,,No
3394,Stoney Creek,443,,REGIONAL RD 20,,Inventoried,,No,,No,,,No
3395,Hamilton,99,,GRANT AVE,,Inventoried,,No,,No,,,No
3396,Hamilton,375,,BAY ST N,,Inventoried,,No,,No,,,No
3397,Hamilton,195,,MARKLAND ST,,Registered Non-Designated,1880,No,,No,,,No
3398,Flamborough,1698,,2ND CON RD W,,Inventoried,,No,,No,,,No
3399,Hamilton,331,,JAMES ST N,,Inventoried,,No,,No,,,No
3400,Hamilton,201,207,BURLINGTON ST E,Arts & Science Brewing Company,Inventoried,,No,,No,,,No
3401,Dundas,,,DESJARDINS AVE,Henry Binkley Family Cemetery,Inventoried,1854,No,,No,,,No
3402,Hamilton,105,115,KING ST E,"Spectator Building; Rainbow Mews",Registered Non-Designated,1920,No,,No,,,No
3403,Hamilton,104,,FERGUSON AVE N,,Registered Non-Designated,1874,No,,No,,,No
3404,Hamilton,24,,HESS ST S,Gown & Gavel Pub,Registered Non-Designated,1890,No,,No,,,No
3405,Hamilton,70,,WELLINGTON ST S,,Registered Non-Designated,1865,No,,No,,,No
3406,Hamilton,316,,HERKIMER ST,Duplessis House,Inventoried,1880,No,,No,,,No
3407,Hamilton,220,,ST CLAIR BLVD,,Designated,,No,92-140,Yes,St. Clair Boulevard,,No
3408,Flamborough,1202,,BROCK RD,,Inventoried,,No,,No,,,No
3409,Hamilton,72,,EAST AVE S,,Inventoried,,No,,No,,,No
3410,Ancaster,277,,WILSON ST E,,Inventoried,1867,No,,No,,,No
3411,Hamilton,312,314,CATHARINE ST N,,Inventoried,,No,,No,,,No
3412,Hamilton,181,,CAROLINE ST N,,Inventoried,,No,,No,,,No
3413,Hamilton,27,,BARTON ST W,,Inventoried,,No,,No,,,No
3414,Hamilton,161,,WELLINGTON ST N,Wellington Hotel,Registered Non-Designated,1880,No,,No,,,No
3415,Hamilton,101,,STUART ST,,Inventoried,,No,,No,,,No
3416,Hamilton,294,,CAROLINE ST S,,Registered Non-Designated,1830,No,,No,,,No
3417,Flamborough,65,,7TH CON RD E,,Inventoried,,No,,No,,,No
3418,Flamborough,1354,,SEATON RD,,Inventoried,,No,,No,,,No
3419,Hamilton,6,,MAIN ST E,Hamilton Club,Registered Non-Designated,1870,No,,No,,,Yes
3420,Flamborough,470,,8TH CON RD E,,Inventoried,1900,No,,No,,,No
3421,Hamilton,191,,ROBINSON ST,,Registered Non-Designated,1900,No,,No,,,No
3422,Dundas,25,,CROSS ST,,Designated,1847,No,3899-90,Yes,Cross-Melville,,No
3423,Hamilton,169,171,KING ST E,The Copp Block,Registered Non-Designated,1881,No,,No,,,Yes
3424,Hamilton,18,,GROVE ST,,Inventoried,,No,,No,,,No
3425,Stoney Creek,1286,,HIGHWAY 8,,Inventoried,1850,No,,No,,,No
3426,Flamborough,345,,5TH CON RD W,,Inventoried,,No,,No,,,No
3427,Stoney Creek,77,81,COLLEGIATE AVE,Stoney Creek Baptist Church,Inventoried,1957,No,,No,,,No
3428,Hamilton,39,,ALANSON ST,,Inventoried,,No,,No,,,No
3429,Hamilton,203,,BOLD ST,,Registered Non-Designated,1900,No,,No,,,No
3430,Flamborough,1345,,CENTRE RD,,Inventoried,1870,No,,No,,,No
3431,Hamilton,225,,MAIN ST W,Southwest Crossings,Registered Non-Designated,1903,No,,No,,,No
3432,Hamilton,161,,ROBINSON ST,,Registered Non-Designated,1900,No,,No,,,No
3433,Hamilton,572,,CATHARINE ST N,,Inventoried,,No,,No,,,No
3434,Hamilton,11,13,BAY ST N,Regal Hotel,Registered Non-Designated,1870,No,,No,,,No
3435,Hamilton,123,,CHARLTON AVE W,,Registered Non-Designated,1875,No,,No,,,No
3436,Hamilton,2,,WESANFORD PL,Wesanford Estate,Registered Non-Designated,1939,No,,No,,,No
3437,Flamborough,545,,DUNDAS ST E,,Inventoried,1858,No,,No,,,No
3438,Hamilton,383,,HESS ST S,,Registered Non-Designated,1912,No,,No,,,No
3439,Hamilton,102,,CHEEVER ST,,Inventoried,,No,,No,,,No
3440,Hamilton,111,,HERKIMER ST,,Registered Non-Designated,1910,No,,No,,,No
3441,Hamilton,358,,BAY ST S,Pigott Residence,Registered Non-Designated,1930,No,,No,,,Yes
3442,Hamilton,83,,OXFORD ST,,Inventoried,,No,,No,,,No
3443,Dundas,199,,KING ST W,,Inventoried,1867,No,,No,,,No
3444,Flamborough,480,,CARLISLE RD,,Inventoried,1911,No,,No,,,No
3445,Hamilton,17,,KINNELL ST,,Inventoried,1855,No,,No,,,No
3446,Hamilton,381,,QUEEN ST S,,Inventoried,1989,No,,No,,,No
3447,Hamilton,306,,HERKIMER ST,,Inventoried,1880,No,,No,,,No
3448,Flamborough,39,,HIGHWAY 8,,Inventoried,1950,No,,No,,,No
3449,Hamilton,172,,QUEEN ST N,,Inventoried,,No,,No,,,No
3450,Ancaster,527,,LYNDEN RD,,Inventoried,1850,No,,No,,,No
3451,Hamilton,1177,,KING ST E,,Inventoried,,No,,No,,,No
3452,Flamborough,3989,,GOVERNORS RD,Old Lynden United Church,Designated,1870,Yes,84-127-H,No,,,No
3453,Flamborough,,,MAIN ST,"Lynden Village; United Church Manse",Inventoried,,No,,No,,,No
3454,Hamilton,466,,KING ST W,,Inventoried,1900,No,,No,,,No
3455,Hamilton,4,,BROCK ST,,Inventoried,,No,,No,,,No
3456,Hamilton,219,,JAMES ST N,,Inventoried,,No,,No,,,No
3457,Hamilton,331,,MAIN ST W,,Inventoried,,No,,No,,,No
3458,Hamilton,72,,ERIE AVE,,Inventoried,,No,,No,,,No
3459,Hamilton,357,,MACNAB ST N,,Inventoried,,No,,No,,,No
3460,Glanbrook,3027,,HOMESTEAD DR,Mount Hope Park,Registered Non-Designated,,No,,No,,,No
3461,Hamilton,184,,BOLD ST,,Registered Non-Designated,1910,No,,No,,,No
3462,Hamilton,605,,JAMES ST N,Hamilton Harbour Commissioners Building,Inventoried,1953,No,,No,,,No
3463,Hamilton,425,,BAY ST N,,Inventoried,,No,,No,,,No
3464,Hamilton,191,,MARKET ST,,Registered Non-Designated,1860,No,,No,,,No
3465,Hamilton,182,,CAROLINE ST S,,Registered Non-Designated,1855,No,,No,,,No
3466,Dundas,14,,OGILVIE ST,Dundas Library,Inventoried,,No,,No,,,No
3467,Hamilton,318,,JAMES ST N,,Inventoried,,No,,No,,,No
3468,Hamilton,320,,JAMES ST N,,Inventoried,,No,,No,,,No
3469,Hamilton,96,,GRANT AVE,,Inventoried,,No,,No,,,No
3470,Flamborough,157,,VICTORIA ST,,Inventoried,,No,,No,,,No
3471,Glanbrook,2069,,BINBROOK RD,,Inventoried,,No,,No,,,No
3472,Hamilton,728,,BARTON ST E,Holy Spirit Ukrainian Church,Inventoried,1965,No,,No,,,No
3473,Flamborough,1764,,2ND CON RD W,,Inventoried,1847,No,,No,,,No
3474,Hamilton,22,,COLBOURNE ST,,Inventoried,,No,,No,,,No
3475,Flamborough,243,,CARLISLE RD,,Inventoried,1849,No,,No,,,No
3476,Dundas,233,,HATT ST,,Inventoried,1867,No,,No,,,No
3477,Hamilton,236,,LOCKE ST N,,Inventoried,1890,No,,No,,,No
3478,Hamilton,326,,JAMES ST N,,Inventoried,,No,,No,,,No
3479,Flamborough,329,,6TH CON RD E,Flamboro Christian Fellowship,Inventoried,1993,No,,No,,,No
3480,Flamborough,329,,6TH CON RD E,,Inventoried,1867,No,,No,,,No
3481,Hamilton,101,,HUNTER ST E,,Registered Non-Designated,1880,No,,No,,,No
3482,Hamilton,160,,WILSON ST,,Registered Non-Designated,1887,No,,No,,,No
3483,Hamilton,804,,KING ST E,,Inventoried,1960,No,,No,,,No
3484,Glanbrook,3020,,BINBROOK RD,,Inventoried,,No,,No,,,No
3485,Hamilton,105,,ONTARIO AVE,,Inventoried,,No,,No,,,No
3486,Hamilton,17,,MULBERRY ST,,Inventoried,,No,,No,,,No
3487,Glanbrook,1902,,HIGHWAY 6,,Inventoried,,No,,No,,,No
3488,Glanbrook,,,DICKENSON RD,,Inventoried,,No,,No,,,No
3489,Hamilton,407,,BAY ST N,,Inventoried,,No,,No,,,No
3490,Hamilton,193,,JOHN ST S,,Inventoried,,No,,No,,,No
3491,Stoney Creek,264,,WINONA RD,,Inventoried,1915,No,,No,,,No
3492,Hamilton,20,,HUGHSON ST S,Union Gas Building,Registered Non-Designated,1966,No,,No,,,No
3493,Hamilton,31,,MAIN ST E,,Registered Non-Designated,1966,No,,No,,,No
3494,Hamilton,111,,CANNON ST E,,Inventoried,1887,No,,No,,,No
3495,Flamborough,1396,,PROGRESTON RD,"Oldest section is Pre1867; newer section is 1906",Inventoried,1867,No,,No,,,No
3496,Glanbrook,3034,,BINBROOK RD,,Inventoried,,No,,No,,,No
3497,Hamilton,87,,INCHBURY ST,,Inventoried,1876,No,,No,,,No
3498,Glanbrook,9089,,AIRPORT RD,,Inventoried,1910,No,,No,,,No
3499,Hamilton,49,,GLOUCESTER ST,,Inventoried,1867,No,,No,,,No
3500,Hamilton,20,,GLOUCESTER RD,,Registered Non-Designated,1915,No,,No,,,No
3501,Hamilton,151,,MARKLAND ST,,Registered Non-Designated,1898,No,,No,,,No
3502,Hamilton,63,,JAMES ST S,Hamilton Club,Registered Non-Designated,1950,No,,No,,,No
3503,Dundas,325,,PARK ST W,,Inventoried,,No,,No,,,No
3504,Hamilton,134,,BURLINGTON ST E,,Inventoried,,No,,No,,,No
3505,Flamborough,7,,NELSON ST,,Inventoried,,No,,No,,,No
3506,Hamilton,29,,WEST AVE S,,Inventoried,,No,,No,,,No
3507,Flamborough,1269,,OLD HIGHWAY 8,,Inventoried,,No,,No,,,No
3508,Dundas,16,,MCMURRAY ST,,Inventoried,1850,No,,No,,,No
3509,Hamilton,712,,MAIN ST E,,Designated,,No,86-125,Yes,St. Clair Avenue,,No
3510,Hamilton,168,,WENTWORTH ST S,,Inventoried,,No,,No,,,No
3511,Hamilton,137,,QUEEN ST N,,Inventoried,,No,,No,,,No
3512,Flamborough,4591,,GOVERNORS RD,,Inventoried,1871,No,,No,,,No
3513,Hamilton,247,,JOHN ST S,,Inventoried,,No,,No,,,No
3514,Hamilton,601,,BARTON ST E,Former Gibson School,Designated,1914,Yes,16-334,No,,,No
3515,Hamilton,187,,CATHARINE ST N,,Inventoried,1822,No,,No,,,No
3516,Hamilton,37,,CAROLINE ST N,,Registered Non-Designated,1909,No,,No,,,No
3517,Hamilton,229,,CATHARINE ST N,,Inventoried,,No,,No,,,No
3518,Hamilton,159,,ROBINSON ST,,Registered Non-Designated,1900,No,,No,,,No
3519,Hamilton,903,,BEACH BLVD,,Designated,1910,No,00-135,Yes,Hamilton Beach,,No
3520,Hamilton,886,894,KING ST E,,Inventoried,1960,No,,No,,,No
3521,Flamborough,580,,MOXLEY RD,,Inventoried,,No,,No,,,No
3522,Flamborough,582,,MOXLEY RD,,Inventoried,,No,,No,,,No
3523,Hamilton,162,,HERKIMER ST,,Registered Non-Designated,1883,No,,No,,,No
3524,Hamilton,263,,LOCKE ST S,Former Hamilton (CIBC) Bank,Designated,1919,Yes,06-036,No,,Mun,No
3525,Flamborough,807,,CENTRE RD,The Rising Sun Hotel,Designated,1850,Yes,86-121-H,No,,,No
3526,Hamilton,91,,FERRIE ST W,,Inventoried,,No,,No,,,No
3527,Flamborough,101,,HILLCREST AVE,,Inventoried,1975,No,,No,,,No
3528,Flamborough,1875,,8TH CON RD W,,Inventoried,,No,,No,,,No
3529,Hamilton,302,,JAMES ST N,,Inventoried,,No,,No,,,No
3530,Hamilton,73,,OTTAWA ST S,,Inventoried,,No,,No,,,No
3531,Hamilton,22,,VEEVERS DR,Veevers Home,Designated,1850,Yes,94-126,No,,,No
3532,Hamilton,100,,WEST 5TH ST,Century Manor (Hamilton Psychiatric Hospital),Designated,1884,Yes,97-198,No,,,No
3533,Hamilton,100,,HESS ST S,,Registered Non-Designated,1871,No,,No,,,No
3534,Hamilton,98,,HESS ST S,,Registered Non-Designated,1875,No,,No,,,No
3535,Dundas,3,,KING ST E,,Inventoried,1824,No,,No,,,No
3536,Hamilton,194,,BOLD ST,,Registered Non-Designated,1895,No,,No,,,No
3537,Hamilton,15,,ST OLGA ST,Church of the Holy Spirit Ukrainian Catholic Church,Inventoried,,No,,No,,,No
3538,Hamilton,1007,,BEACH BLVD,,Designated,1900,No,00-135,Yes,Hamilton Beach,,No
3539,Hamilton,3,,BULL'S LANE,,Inventoried,,No,,No,,,No
3540,Hamilton,294,,BAY ST S,,Registered Non-Designated,1870,No,,No,,,No
3541,Hamilton,290,,CAROLINE ST S,,Registered Non-Designated,1907,No,,No,,,No
3542,Flamborough,41,,PARK AVE,,Inventoried,1960,No,,No,,,No
3543,Hamilton,55,,WELLINGTON ST S,,Inventoried,,No,,No,,,No
3544,Ancaster,1868,,JERSEYVILLE RD W,,Inventoried,1850,No,,No,,,No
3545,Hamilton,11,,WESANFORD PL,Wesanford Estate,Registered Non-Designated,1939,No,,No,,,No
3546,Hamilton,383,,HUGHSON ST N,Hughson Street Baptist Church,Registered Non-Designated,1867,No,,No,,,No
3547,Flamborough,46,,HIGHWAY 8,,Inventoried,1950,No,,No,,,No
3548,Hamilton,16,-20,CANNON ST E,,Registered Non-Designated,,No,,No,,,No
3549,Hamilton,95,,MARY ST,,Inventoried,1998,No,,No,,,No
3550,Hamilton,13,,HESS ST S,,Registered Non-Designated,1870,No,,No,,,No
3551,Hamilton,192,,BOLD ST,Residence,Registered Non-Designated,1895,No,,No,,,Yes
3552,Dundas,50,,ALBERT ST,,Inventoried,1867,No,,No,,,No
3553,Hamilton,14,,DEVONPORT ST,,Inventoried,1870,No,,No,,,No
3554,Flamborough,753,,5TH CON RD W,,Inventoried,1830,No,,No,,,No
3555,Flamborough,1092,,GORE RD,,Inventoried,,No,,No,,,No
3556,Flamborough,5,,LOUISA ST,Freelton Village,Inventoried,,No,,No,,,No
3557,Hamilton,1,,TURNER AVE,,Registered Non-Designated,1905,No,,No,,,No
3558,Hamilton,245,,PARK ST N,,Inventoried,,No,,No,,,No
3559,Hamilton,68,,GEORGE ST,Staybridge Suites,Inventoried,2012,No,,No,,,No
3560,Hamilton,2,,WEST AVE N,,Inventoried,,No,,No,,,No
3561,Hamilton,135,,VICTORIA AVE N,,Inventoried,,No,,No,,,No
3562,Ancaster,579,,ALBERTON RD,,Inventoried,1850,No,,No,,,No
3563,Hamilton,60,,FERRIE ST W,,Inventoried,,No,,No,,,No
3564,Hamilton,21,,MURRAY ST W,,Inventoried,,No,,No,,,No
3565,Hamilton,102,,GARFIELD AVE S,,Inventoried,,No,,No,,,No
3566,Flamborough,1880,,4TH CON RD W,,Inventoried,,No,,No,,,No
3567,Ancaster,176,,WILSON ST E,,Inventoried,,No,,No,,,No
3568,Glanbrook,3011,,REGIONAL RD 56,CIBC,Inventoried,1951,No,,No,,,No
3569,Hamilton,245,,JAMES ST N,,Inventoried,,No,,No,,,No
3570,Hamilton,38,,BROCK ST,,Inventoried,,No,,No,,,No
3571,Hamilton,152,,HOMEWOOD AVE,,Inventoried,,No,,No,,,No
3572,Hamilton,37,,STRATHCONA AVE N,Former Strathcona Fire Hall,Designated,1897,Yes,89-271,No,,,No
3573,Hamilton,320,,CHARLTON AVE W,St. John the Evangelist Church,Inventoried,1892,No,,No,,,No
3574,Hamilton,21,,WESANFORD PL,Wesanford Estate,Registered Non-Designated,1939,No,,No,,,No
3575,Hamilton,95,,OXFORD ST,,Inventoried,,No,,No,,,No
3576,Hamilton,136,,FERGUSON AVE N,,Registered Non-Designated,1865,No,,No,,,No
3577,Flamborough,352,,MOUNTAIN BROW RD,,Inventoried,1890,No,,No,,,No
3578,Glanbrook,3172,,CEMETERY RD,,Inventoried,,No,,No,,,No
3579,Glanbrook,3047,,BINBROOK RD,,Inventoried,1860,No,,No,,,No
3580,Hamilton,283,,MAIN ST W,,Inventoried,1861,No,,No,,,No
3581,Hamilton,281,,MAIN ST W,,Inventoried,1861,No,,No,,,No
3582,Glanbrook,1180,,BINBROOK RD,,Inventoried,,No,,No,,,No
3583,Hamilton,316,,JAMES ST N,,Inventoried,,No,,No,,,No
3584,Hamilton,426,,KING WILLIAM ST,,Inventoried,,No,,No,,,No
3585,Ancaster,992,,SOUTHCOTE RD,,Inventoried,1857,No,,No,,,No
3586,Hamilton,136,,QUEEN ST N,,Inventoried,,No,,No,,,No
3587,Hamilton,176,,RAY ST N,,Inventoried,,No,,No,,,No
3588,Flamborough,1221,,HIGHWAY 6,,Inventoried,,No,,No,,,No
3589,Hamilton,180,,EMERALD ST S,,Inventoried,,No,,No,,,No
3590,Hamilton,756,,KING ST E,,Inventoried,1980,No,,No,,,No
3591,Hamilton,109,,CANNON ST E,,Inventoried,1885,No,,No,,,No
3592,Hamilton,148,,WILSON ST,,Registered Non-Designated,1900,No,,No,,,No
3593,Hamilton,93,95,HILLYARD ST,,Inventoried,,No,,No,,,No
3594,Stoney Creek,1455,,HIGHWAY 8,Fifty United Church,Designated,1869,Yes,3771-93,No,,,No
3595,Hamilton,1395,1399,MAIN ST E,,Inventoried,1950,No,,No,,,No
3596,Hamilton,1173,,KING ST E,,Inventoried,1910,No,,No,,,No
3597,Hamilton,35,,MOUNTWOOD AVE,,Inventoried,,No,,No,,,No
3598,Hamilton,142,,FOREST AVE,,Inventoried,1898,No,,No,,,No
3599,Hamilton,241,,HUNTER ST E,,Inventoried,1860,No,,No,,,No
3600,Hamilton,157,,HUNTER ST W,,Registered Non-Designated,,No,,No,,,No
3601,Hamilton,1439,,MAIN ST E,,Inventoried,1950,No,,No,,,No
3602,Flamborough,1594,,KIRKWALL RD,,Inventoried,,No,,No,,,No
3603,Dundas,29,,PARK ST W,St. Paul’s United Church,Designated,1933,No,3899-90,Yes,Cross-Melville,,No
3604,Hamilton,262,,KING ST W,,Registered Non-Designated,1940,No,,No,,,No
3605,Hamilton,264,,KING ST W,,Inventoried,,No,,No,,,No
3606,Flamborough,79,,FREELTON RD,Our Lady of Mount Carmel Roman Catholic Church,Inventoried,1890,No,,No,,,No
3607,Hamilton,28,,LEINSTER AVE S,,Inventoried,,No,,No,,,No
3608,Hamilton,203,,KING ST E,The Copp Block,Registered Non-Designated,1880,No,,No,,,Yes
3609,Flamborough,155,,FREELTON RD,Freelton United Church,Inventoried,1899,No,,No,,,No
3610,Flamborough,2072,,6TH CON RD W,,Inventoried,,No,,No,,,No
3611,Flamborough,1521,,MILBUROUGH LINE,,Inventoried,1900,No,,No,,,No
3612,Hamilton,117,,MOUNT ALBION RD,,Inventoried,,No,,No,,,No
3613,Hamilton,13,15,INGLEWOOD DR,Inglewood,Designated,1855,Yes,17-224,No,,,No
3614,Hamilton,19,,BLYTHE ST,,Inventoried,,No,,No,,,No
3615,Hamilton,159,,PARK ST N,,Inventoried,,No,,No,,,No
3616,Flamborough,7,,SPRINGHILL RD,,Inventoried,1900,No,,No,,,No
3617,Hamilton,222,,BAY ST S,,Registered Non-Designated,1895,No,,No,,,No
3618,Hamilton,188,,HESS ST S,,Registered Non-Designated,,No,,No,,,No
3619,Hamilton,184,,HESS ST S,,Registered Non-Designated,,No,,No,,,No
3620,Hamilton,186,,HESS ST S,,Registered Non-Designated,,No,,No,,,No
3621,Hamilton,190,,HESS ST S,,Registered Non-Designated,,No,,No,,,No
3622,Hamilton,129,,JACKSON ST W,Wesanford Estate,Registered Non-Designated,1940,No,,No,,,No
3623,Hamilton,220,,MAIN ST W,,Inventoried,1909,No,,No,,,No
3624,Flamborough,1077,,HIGHWAY 97,,Inventoried,,No,,No,,,No
3625,Glanbrook,570,,HENDERSHOTT RD,,Inventoried,,No,,No,,,No
3626,Glanbrook,2360,,HALDIBROOK RD,,Inventoried,1876,No,,No,,,No
3627,Hamilton,128,,WELLINGTON ST S,,Inventoried,,No,,No,,,No
3628,Hamilton,28,,LIBERTY ST,,Inventoried,,No,,No,,,No
3629,Stoney Creek,20,,BRIDGMAN LANE,,Inventoried,1912,No,,No,,,No
3630,Flamborough,123,,MILL ST N,,Designated,1909,No,96-34-H,Yes,Mill Street,,No
3631,Hamilton,216,,PARK ST N,,Inventoried,,No,,No,,,No
3632,Hamilton,182,,MACNAB ST N,,Inventoried,,No,,No,,,No
3633,Hamilton,125,,GRANT AVE,,Inventoried,,No,,No,,,No
3634,Ancaster,1051,,OLD MOHAWK RD,Craigleith,Designated,1870,Yes,89-88,No,,,No
3635,Flamborough,252,,HIGHWAY 8,,Inventoried,,No,,No,,,No
3636,Hamilton,192,,HESS ST S,,Registered Non-Designated,,No,,No,,,No
3637,Hamilton,196,,HESS ST S,,Registered Non-Designated,,No,,No,,,No
3638,Hamilton,198,,HESS ST S,,Registered Non-Designated,,No,,No,,,No
3639,Hamilton,199,,QUEEN ST S,,Registered Non-Designated,,No,,No,,,No
3640,Hamilton,191,,QUEEN ST S,,Registered Non-Designated,,No,,No,,,No
3641,Hamilton,187,,QUEEN ST S,,Registered Non-Designated,,No,,No,,,No
3642,Hamilton,918,,MAIN ST E,Living Hope Christian Community,Inventoried,,No,,No,,,No
3643,Ancaster,105,,FILMAN RD,,Inventoried,1850,No,,No,,,No
3644,Ancaster,2462,,WILSON ST W,,Inventoried,1828,No,,No,,,No
3645,Hamilton,61,,NAPIER ST,,Registered Non-Designated,1903,No,,No,,,No
3646,Flamborough,515,,MOUNTSBERG RD,,Inventoried,1860,No,,No,,,No
3647,Hamilton,88,,FENNELL AVE W,Auchmar,Designated,1855,Yes,00-037,No,,OHT,No
3648,Flamborough,1407,,BROCK RD,,Inventoried,,No,,No,,,No
3649,Flamborough,,,CONCESSION 4 W,Glenwood Cemetery,Inventoried,1859,No,,No,,,No
3650,Dundas,39,,FORESTVIEW DR,Harcar Lyons Family Cemetery,Inventoried,1817,No,,No,,,No
3651,Flamborough,1094,,WESTOVER RD,,Inventoried,,No,,No,,,No
3652,Hamilton,188,,BAY ST N,,Inventoried,,No,,No,,,No
3653,Hamilton,187,,CAROLINE ST S,,Registered Non-Designated,1890,No,,No,,,No
3654,Hamilton,79,85,CATHCART ST,,Registered Non-Designated,1885,No,,No,,,No
3655,Hamilton,1,,GUISE ST,Hamilton Port Authority Varnish Shed,Inventoried,1950,No,,No,,,No
3656,Hamilton,1,,GUISE ST,Hamilton Port Authority Maintenace Shop and Office,Inventoried,1950,No,,No,,,No
3657,Hamilton,3,,BALMORAL AVE S,,Inventoried,1950,No,,No,,,No
3658,Stoney Creek,1100,,MUD ST E,,Inventoried,1795,No,,No,,,No
3659,Stoney Creek,30,,RIDGE RD,Billy Green House,Designated,1820,Yes,3683-92,No,,,No
3660,Hamilton,135,,REBECCA ST,Commercial Engravers Ltd.,Registered Non-Designated,1959,No,,No,,,No
3661,Hamilton,224,,BAY ST S,,Registered Non-Designated,,No,,No,,,No
3662,Hamilton,478,,WENTWORTH ST N,St. David’s Presbyterian Church,Inventoried,1919,No,,No,,,No
3663,Hamilton,186,,ST CLAIR BLVD,,Designated,,No,92-140,Yes,St. Clair Boulevard,,No
3664,Hamilton,155,,RAY ST N,,Inventoried,,No,,No,,,No
3665,Hamilton,223,,MACNAB ST S,,Registered Non-Designated,1952,No,,No,,,No
3666,Hamilton,97,,AUGUSTA ST,,Inventoried,,No,,No,,,No
3667,Flamborough,69,,HIGHWAY 8,,Inventoried,1910,No,,No,,,No
3668,Hamilton,134,,MARKLAND ST,,Registered Non-Designated,1911,No,,No,,,No
3669,Hamilton,87,,VICTORIA AVE S,,Inventoried,,No,,No,,,No
3670,Hamilton,85,,OXFORD ST,,Inventoried,,No,,No,,,No
3671,Flamborough,1099,,BROCK RD,,Inventoried,,No,,No,,,No
3672,Hamilton,33,,GARFIELD AVE S,,Inventoried,,No,,No,,,No
3673,Hamilton,87,,WOOD ST E,,Inventoried,,No,,No,,,No
3674,Hamilton,253,,BEACH BLVD,,Inventoried,,No,,No,,,No
3675,Hamilton,289,,BAY ST N,,Inventoried,,No,,No,,,No
3676,Glanbrook,2654,,BINBROOK RD,,Inventoried,1950,No,,No,,,No
3677,Hamilton,62,,PICTON ST W,,Inventoried,,No,,No,,,No
3678,Flamborough,341,,MAIN ST N,"Buchan House; Rymal House",Inventoried,1847,No,,No,,,No
3679,Ancaster,1319,,BOOK RD W,,Inventoried,1850,No,,No,,,No
3680,Flamborough,860,,OLD HIGHWAY 8,,Inventoried,,No,,No,,,No
3681,Flamborough,860,,OLD HIGHWAY 8,,Inventoried,,No,,No,,,No
3682,Flamborough,1557,,2ND CON RD W,,Inventoried,1840,No,,No,,,No
3683,Dundas,3,,MAIN ST,Valley Lodge # 100 A.F. & A.M. Temple,Inventoried,1850,No,,No,,,No
3684,Hamilton,87,,CHEEVER ST,,Inventoried,,No,,No,,,No
3685,Dundas,310,,HATT ST,,Inventoried,1867,No,,No,,,No
3686,Hamilton,245,,BAY ST N,Harmony Apartments,Inventoried,,No,,No,,,No
3687,Hamilton,182,,HESS ST S,,Registered Non-Designated,,No,,No,,,No
3688,Hamilton,205,,DUKE ST,,Registered Non-Designated,,No,,No,,,No
3689,Hamilton,189,,DUKE ST,,Registered Non-Designated,,No,,No,,,No
3690,Hamilton,187,,DUKE ST,,Registered Non-Designated,,No,,No,,,No
3691,Hamilton,197,,DUKE ST,,Registered Non-Designated,,No,,No,,,No
3692,Hamilton,191,,DUKE ST,,Registered Non-Designated,,No,,No,,,No
3693,Hamilton,203,,DUKE ST,,Registered Non-Designated,,No,,No,,,No
3694,Hamilton,207,,DUKE ST,,Registered Non-Designated,,No,,No,,,No
