OBJECTID,COMMUNITY,STREET_NO_1,STREET_NO_2,STREET_NAME,NAME,HERITAGE_STATUS,DATE_HERITAGE,PART_IV,BYLAW_NO,PART_V,HCD_NAME,EASEMENT,WORK_PLAN
76,Hamilton,138,,BURLINGTON ST E,,Inventoried,,No,,No,,,No
77,Hamilton,480,,MELVIN AVE,Saint Mina Coptic Orthodox Church,Inventoried,1954,No,,No,,,No
78,Hamilton,349,,HUNTER ST E,,Inventoried,,No,,No,,,No
79,Hamilton,59,,MULBERRY ST,,Inventoried,,No,,No,,,No
80,Hamilton,17,,EMERALD ST N,,Inventoried,,No,,No,,,No
81,Hamilton,101,,AUGUSTA ST,,Inventoried,,No,,No,,,No
82,Hamilton,75,,PEARL ST S,,Inventoried,1885,No,,No,,,No
83,Hamilton,652,654,KING ST E,,Inventoried,1898,No,,No,,,No
84,Hamilton,74,,CATHCART ST,,Registered Non-Designated,1899,No,,No,,,No
85,Hamilton,107,,PEARL ST S,,Inventoried,1920,No,,No,,,No
86,Glanbrook,631,,MILES RD,,Inventoried,,No,,No,,,No
87,Dundas,63,,MAIN ST,,Inventoried,1867,No,,No,,,No
88,Flamborough,1694,,HIGHWAY 97,,Inventoried,,No,,No,,,No
89,Hamilton,132,,HERKIMER ST,,Registered Non-Designated,1882,No,,No,,,No
90,Hamilton,40,,LIBERTY ST,,Inventoried,,No,,No,,,No
91,Hamilton,93,,FERRIE ST W,,Inventoried,,No,,No,,,No
92,Hamilton,227,,STONE CHURCH RD W,Jehovah's Witnesses,Inventoried,,No,,No,,,No
93,Flamborough,365,,OLD BROCK RD,,Inventoried,,No,,No,,,No
94,Hamilton,193,,BEACH BLVD,,Inventoried,1843,No,,No,,,No
95,Flamborough,2199,,CENTRE RD,,Inventoried,,No,,No,,,No
96,Hamilton,58,,WELLINGTON ST S,,Registered Non-Designated,1860,No,,No,,,No
97,Hamilton,15,,BLYTHE ST,,Inventoried,,No,,No,,,No
98,Hamilton,175,,LONGWOOD RD S,Former Westinghouse Office Building and Power House,Inventoried,,No,,No,,,No
99,Dundas,17,,JAMES ST,,Inventoried,1854,No,,No,,,No
