X,Y,OBJECTID,SCHOOL_ID,NAME,ADDRESS,COMMUNITY,CATEGORY,LOWEST_GRADE,HIGHEST_GRADE,LANGUAGE,SCHOOL_BOARD,WEBSITE,COMMENTS,LONGITUDE,LATITUDE
589097.208200000226498,4786664.90499999933,144,197,Living Hope Christian School,1045 Garth Street,Hamilton,Alternative Education,Kindergarten,,,,http://www.findhope.tv,,-79.90284218763145,43.2275163902402
590509.997999999672174,4786172.69099999964,145,200,New Testament Academy,21 Jameston Avenue,Hamilton,Alternative Education,Kindergarten,12,English,,http://www.ntbch.ca/academy/academy/,,-79.88552880143764,43.22291681409803
595497.176099999807775,4786647.44319999963,146,201,École élémentaire Pavillon de la jeunesse,105 High Street,Hamilton,Elementary School,Kindergarten,6,French,Conseil Scolaire Viamonde,https://csviamonde.ca,,-79.82405067534191,43.22657627724213
598649.824,4781298.9275,147,203,St. Mark Elementary School,43 Whitedeer Road,Stoney Creek,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.78619257718994,43.17801934502028
589676.144999999552965,4786640.5632,148,204,Westmount Secondary School,39 Montcalm Drive,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.89571831458099,43.227228650519145
589780.884999999776483,4786454.103,149,205,Westview Elementary School,60 Rolston Drive,Hamilton,Middle School,6,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.89445911145728,43.22553748301088
577545.192499999888241,4790117.100099999458,150,207,Rehoboth Christian School,198 Inksetter Road,Flamborough,Alternative Education,Kindergarten,12,English,,http://rehoboth.on.ca/,,-80.04458916303359,43.259873847468896
593585.6425,4783314.115399999544,151,210,Templemead Elementary School,62 Templemead Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.84814949188434,43.19680607246401
581650.134200000204146,4783771.21299999952,152,212,Bishop Tonnos Secondary School,100 Pannabaker Drive,Ancaster,Secondary School,9,12,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.99496020133246,43.202306128596206
593639.582799999975,4790031.543299999088,153,214,Cathy Wever Elementary School,160 Wentworth Street North,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.84634564253302,43.257275752513
591787.694699999876,4789312.616299999878,154,244,St. Charles Adult Education,45 Young Street,Hamilton,Adult Learning,,,English,Hamilton-Wentworth Catholic District School Board,http://www.stcharles.ca/,,-79.8692765621014,43.25103110427302
591450.318099999800324,4787872.23,155,246,St. Charles Adult Education,150 East 5th Street,Hamilton,Adult Learning,,,English,Hamilton-Wentworth Catholic District School Board,http://www.stcharles.ca/,,-79.87367084429468,43.238104365047015
592218.403699999675155,4786781.3889,156,266,Hill Park Learning Centre,465 East 16th Street,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/cce/,,-79.8643950754449,43.22819005275928
588488.385700000450015,4797806.651799999177,157,308,Guy B. Brown Elementary School ,55 Braeheid Avenue,Flamborough,Elementary School,Kindergarten,8,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.90854637036193,43.32789738478091
600930.087399999611,4787487.5502,158,248,St. Charles Adult Education,60 Barlake Avenue,Hamilton,Adult Learning,,,English,Hamilton-Wentworth Catholic District School Board,http://www.stcharles.ca/,,-79.75701128651512,43.23343224741278
591820.589999999850988,4790134.35,159,250,City Centre Learning Centre,"77 James Street North, 3rd Level",Hamilton,Adult Learning,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/cce/,,-79.86873445523906,43.258425109347094
595169.285199999809265,4785083.661499999464,160,320,St. Anthony Daniel Elementary School,75 Anson Avenue,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.82835712176335,43.21253920335894
610267.432500000111759,4785103.573,161,321,St. Gabriel Elementary School,1361 Barton Street,Stoney Creek,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.64252531186001,43.21066410846889
596499.497600000351667,4774480.471899999306,162,296,St. Matthew Elementary School,200 Windwood Drive,Glanbrook,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.81383272424526,43.11691093467337
585278.988800000399351,4795014.471899999306,163,331,Grace Christian School,497 Millgrove Side Road,Flamborough,Alternative Education,Kindergarten,8,English,,http://graceschool.ca,,-79.94855932339303,43.30313006641466
608457.6244,4786415.275399999693,164,332,Ontario College of Health and Technology,1040 South Service Rd,Stoney Creek,Post Secondary,,,,,https://www.hwdsb.on.ca,,-79.66454171383137,43.22273461663594
591471.833499999716878,4790098.6818,165,333,College Boreal,120 King Street W,Hamilton,Post Secondary,,,,,https://www.hwdsb.on.ca,,-79.87303637762446,43.25814639936943
587717.745500000193715,4790458.3768,166,334,McMaster University,1280 Main Street W,Hamilton,Post Secondary,,,,,https://www.hwdsb.on.ca,,-79.91922247022977,43.26183103722398
590462.446000000461936,4787844.3613,167,335,Mohawk College - Fennell Campus,135 Fennell Ave W ,Hamilton,Post Secondary,,,,,https://www.hwdsb.on.ca,,-79.88584007268457,43.237972599556436
596662.5,4787173.6743,168,336,Brock University,1842 King Street E,Hamilton,Post Secondary,,,,,https://www.hwdsb.on.ca,,-79.80961172731921,43.2311654290628
585408.615399999544024,4784578.25019999966,169,337,Redeemer University College,777 Garner Road E,Ancaster,Post Secondary,,,,,https://www.hwdsb.on.ca,,-79.94857934650187,43.20915634228149
604535.342199999839067,4786738.5241,170,338,Mohawk College - Stoney Creek Campus,481 Barton Street,Stoney Creek,Post Secondary,,,,,https://www.hwdsb.on.ca,,-79.71276406964192,43.226198186161064
592230.885099999606609,4786767.7597,171,359,SAL Outreach,465 East 16th Street,Hamilton,Alternative Education,,,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.86424368386018,43.22806582394181
604555.4506,4786732.1741,172,360,Turning Point Alt Ed Centre Barton Ave,481 Barton Street,Stoney Creek,Adult Learning,,,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.7125177217458,43.22613823442022
591696.974799999967,4789632.392699999735,173,240,James Street School,100 James St. South,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87034070215371,43.25392107172357
591943.873800000175834,4790446.496099999174,174,340,Nu Steel Centre 3,173 James Street N,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.86716373587659,43.261220304932245
